Keys,English (USA),日本語,Pig Latin (USA)
Game Title,Template Unity Project,テンプレート一●ユニティー●プロジェクト,Ethay Ecursiveray Ollhouseday
Developer Website’s Name,Omiya Games,大宮ゲームズ,Omiya Games
Credits,Credits,スタッフ,
Main Menu,Menu,メニュー,
Loading,Loading...,ロード中,
Start Button,Start,スタート,
Level Select Button,Level Select,,
Tutorial Button,Tutorial,,
Click To Start Button,Click here to begin,,
Level Complete Title,{0} Complete,{0}クリアー,
Level Failed Title,{0} Failed,,
Resume Button,Resume,,
Restart Button,Restart {0},,
Options Button,Options,設定,
Credits Button,Credits,スタッフ,
Level Button,Level {0},ステージ{0},
Next Level Button,Next Level,次のステージ,
Skip Credits Button,Press any key to skip,,
Return To Menu Button,Return to {0},{0}へ戻る,
Proceed Button,Proceed to {0},{0}へ続ける,
Back Button,Back,戻る,
Quit Button,Quit,終わる,
Paused Title,Paused,ポーズ,
Level Select Title,Level Select,ステージ選択,
Options Audio,Audio,,
Options Controls,Controls,,
Options Accessibility,Accessibility,,
Options Mute,Mute,弱音,
Options Language,Language,単語,
Options Music Volume,Music Volume,,
Options Sound Effects Volume,Sound Effects Volume,,
Options Graphics,Graphics,,
Options Smooth Camera,Camera Smoothing,,
Options Smooth Camera Hint,Enabling this feature smooths the camera rotation towards the direction the mouse moved, rather than rotating it at the slightest mouse movement. The higher the value, the more the camera lags behind the mouse movement.,,
Options Enable Flashing Effects,Enable Screen Flashing,,
Options Enable Camera Shakes,Enable Camera Shakes,,
Options Enable Head Bobbing,Enable Head Bobbing,,
Options Enable Motion Blurs,Enable Motion Blurs,,
Options Enable Bloom,Enable Bloom Effect,,
Options Keyboard Sensitivity,Movement Sensitivity,,
Options Split Keyboard Sensitivity,Split Movement Sensitivity By Axis,,
Options Keyboard Overall Sensitivity,Sensitivity,,
Options Keyboard X-Axis Sensitivity,Horizontal Sensitivity,,
Options Keyboard Y-Axis Sensitivity,Vertical Sensitivity,,
Options Keyboard Invert,Invert Movement Controls,,
Options Invert Keyboard X-Axis,Horizontally,,
Options Invert Keyboard Y-Axis,Vertically,,
Options Mouse Sensitivity,Camera Control's Sensitivity,,
Options Split Mouse Sensitivity,Split Camera Control's Sensitivity By Axis,,
Options Mouse Overall Sensitivity,Sensitivity,,
Options Mouse X-Axis Sensitivity,Horizontal Sensitivity,,
Options Mouse Y-Axis Sensitivity,Vertical Sensitivity,,
Options Mouse Invert,Invert Camera Controls,,
Options Invert Mouse X-Axis,Horizontally,,
Options Invert Mouse Y-Axis,Vertically,,
Options Scroll Wheel,Mouse Scroll-Wheel,,
Options Scroll Wheel Sensitivity,Sensitivity,,
Options Invert Scroll Wheel,Invert Mouse Scroll-Wheel,,
Options Language Change Confirm,"This will change all the text to be translated to english (USA). If this is the desired action, click ""Yes;"" otherwise, the language will revert back to the original selection in {0} seconds.",,
Options Reset,Reset Data,データをリセット,
Options Reset Message,This will reset all your in-game progress data.,,
